solvent
O=C1OCCO1
COC(=O)OC
CCCCOC(=O)OC
CC(C)COC(=O)OC
CCC(C)OC(=O)OC
CCOC(=O)OCC
CCOC(=O)OC(C)F
CC(OC(=O)OCC(F)(F)F)F
FC1COC(=O)O1
C1(C(OC(=O)O1)F)F
CCOC(=O)OC
FC(F)C(F)(F)COC(F)(F)C(F)F
C1C(OC(=O)O1)CC(C(F)(F)F)(C(F)(F)F)F
COC(=O)OCC(F)(F)F
COC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F
CC(OC(F)(F)C(F)C(F)(F)F)C(F)(F)C(F)C(F)(F)F     
CC1COC(=O)O1
CCOCCOCC
ClCCl
C1CCOC1
Cc1ccccc1
COCCOCCOCCOC
CC1CCCO1
COCCOC
C1COCO1
O=c1occo1
C=CCCCOCC1COC(=O)O1
CO[Si](CCCOCC1COC(=O)O1)(OC)OC
CCO[Si](CCCOCC1COC(=O)O1)(OCC)OCC
C[Si](C)(C)O[Si](C)(C)CCCOCC1COC(=O)O1
CCCC(=O)OC
CN1CCCC1=O
CCCCOCCOCCCC
COP(=O)(OC)OC
O=C1CCCO1
COC(=O)OCCCF
CCCOC(=O)OC
COC(=O)OCCC(F)(F)F
COC(=O)OCC(F)(F)C(F)F
COC(=O)OCC(F)(F)C(F)(F)F
O=C1OCC(CF)O1
O=C(OCF)OCF
COC(=O)OCF
COC(=O)OCCF
CCOC(=O)OCCF
CCOC(=O)OCC(F)F
CCOC(=O)OCC(F)(F)F
C[Si](C)(C)O[Si](C)(CCC1COC(=O)O1)O[Si](C)(C)C
C[Si](C)(C)O[Si](C)(C)CCC1COC(=O)O1
CCC1COC(=O)O1
CS(=O)C
C1CCOCC1
CC1CCC(O1)C
CCOC(C(C(C(F)(F)F)(F)F)(F)F)(F)F
COP(=O)(C)OC
C1C(OC(=O)O1)F
FC(F)(F)C(F)(F)COC(F)(F)C(F)(F)F
CC#N
CCCCCCC1COC(=O)O1
CCCCCCCCC1COC(=O)O1
CCCCCCCCCC1COC(=O)O1
CCCCCCCCCCC1COC(=O)O1
C1COC(=O)O1
CC(=O)OC
C(OC(=O)OCF)F
COCCOCCC#N
